function, code1, hexcode1, code2, hexcode2
"CHANNEL DOWN","sendir,1:1,1,40000,1,1,96,24,48,24,24,24,24,24,24,24,48,24,24,24,24,24,48,24,24,24,24,24,24,24,24,1058 ","0000 0068 0000 000D 0060 0018 0030 0018 0018 0018 0018 0018 0018 0018 0030 0018 0018 0018 0018 0018 0030 0018 0018 0018 0018 0018 0018 0018 0018 0422",,

"CHANNEL ERASE","sendir,1:1,1,40000,1,1,96,24,48,24,24,24,24,24,48,24,48,24,48,24,48,25,48,24,24,24,24,24,24,24,24,982 ","0000 0068 0000 000d 0060 0018 0030 0018 0018 0018 0018 0018 0030 0018 0030 0018 0030 0018 0030 0019 0030 0018 0018 0018 0018 0018 0018 0018 0018 03d6",,

"CHANNEL UP","sendir,1:1,1,40000,1,1,96,24,24,24,24,24,24,24,24,24,48,24,24,24,24,24,48,24,24,24,24,24,24,24,24,1080 ","0000 0068 0000 000D 0060 0018 0018 0018 0018 0018 0018 0018 0018 0018 0030 0018 0018 0018 0018 0018 0030 0018 0018 0018 0018 0018 0018 0018 0018 0438",,

"CLOCK SET","sendir,1:1,1,40000,1,1,96,24,48,24,24,24,48,24,24,24,48,24,48,24,24,24,48,24,24,24,24,24,24,24,24,1104 ","0000 0067 0000 000D 0060 0018 0030 0018 0018 0018 0030 0018 0018 0018 0030 0018 0030 0018 0018 0018 0030 0018 0018 0018 0018 0018 0018 0018 0018 0450",,

"CURSOR DOWN","sendir,1:1,1,40000,1,1,96,24,48,24,24,24,48,24,24,24,48,24,48,24,48,24,48,24,24,24,24,24,24,24,24,990 ","0000 0068 0000 000d 0060 0018 0030 0018 0018 0018 0030 0018 0018 0018 0030 0018 0030 0018 0030 0018 0030 0018 0018 0018 0018 0018 0018 0018 0018 03de",,

"CURSOR ENTER","sendir,1:1,1,40000,1,1,96,24,48,24,24,24,48,24,24,24,24,24,48,24,48,24,48,24,24,24,24,24,24,24,24,1001 ","0000 0068 0000 000D 0060 0018 0030 0018 0018 0018 0030 0018 0018 0018 0018 0018 0030 0018 0030 0018 0030 0018 0018 0018 0018 0018 0018 0018 0018 03E9",,

"CURSOR LEFT","sendir,1:1,1,40000,1,1,96,24,24,24,24,24,48,24,24,24,48,24,48,24,24,24,48,24,24,24,24,24,24,24,24,1035 ","0000 0068 0000 000d 0060 0018 0018 0018 0018 0018 0030 0018 0018 0018 0030 0018 0030 0018 0018 0018 0030 0018 0018 0018 0018 0018 0018 0018 0018 040b",,

"CURSOR RIGHT","sendir,1:1,1,40000,1,1,96,24,48,24,48,24,24,24,24,24,48,24,48,24,24,24,48,24,24,24,24,24,24,24,24,1013 ","0000 0068 0000 000d 0060 0018 0030 0018 0030 0018 0018 0018 0018 0018 0030 0018 0030 0018 0018 0018 0030 0018 0018 0018 0018 0018 0018 0018 0018 03f5",,

"CURSOR UP","sendir,1:1,1,40000,1,1,96,24,24,24,24,24,48,24,24,24,48,24,48,24,48,24,48,24,24,24,24,24,24,24,24,1013 ","0000 0068 0000 000d 0060 0018 0018 0018 0018 0018 0030 0018 0018 0018 0030 0018 0030 0018 0030 0018 0030 0018 0018 0018 0018 0018 0018 0018 0018 03f5",,

"DIGIT 0","sendir,1:1,1,40000,1,1,96,24,48,24,24,24,24,24,48,24,24,24,24,24,24,24,48,24,24,24,24,24,24,24,24,1058 ","0000 0068 0000 000d 0060 0018 0030 0018 0018 0018 0018 0018 0030 0018 0018 0018 0018 0018 0018 0018 0030 0018 0018 0018 0018 0018 0018 0018 0018 0422",,

"DIGIT 1","sendir,1:1,1,40000,1,1,97,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,48,24,24,24,24,24,24,24,24,1125 ","0000 0068 0000 000d 0061 0018 0018 0018 0018 0018 0018 0018 0018 0018 0018 0018 0018 0018 0018 0018 0030 0018 0018 0018 0018 0018 0018 0018 0018 0465",,

"DIGIT 2","sendir,1:1,1,40000,1,1,97,24,48,24,24,24,24,24,24,24,24,24,24,24,24,24,48,24,24,24,24,24,24,24,24,1080 ","0000 0068 0000 000d 0061 0018 0030 0018 0018 0018 0018 0018 0018 0018 0018 0018 0018 0018 0018 0018 0030 0018 0018 0018 0018 0018 0018 0018 0018 0438",,

"DIGIT 3","sendir,1:1,1,40000,1,1,97,24,24,24,48,24,24,24,24,24,24,24,24,24,24,24,48,24,24,24,24,24,24,24,24,1080 ","0000 0068 0000 000d 0061 0018 0018 0018 0030 0018 0018 0018 0018 0018 0018 0018 0018 0018 0018 0018 0030 0018 0018 0018 0018 0018 0018 0018 0018 0438",,

"DIGIT 4","sendir,1:1,1,40000,1,1,97,24,48,24,48,24,24,24,24,24,24,24,24,24,24,24,48,24,24,24,24,24,24,24,24,1058 ","0000 0068 0000 000d 0061 0018 0030 0018 0030 0018 0018 0018 0018 0018 0018 0018 0018 0018 0018 0018 0030 0018 0018 0018 0018 0018 0018 0018 0018 0422",,

