function, code1, hexcode1, code2, hexcode2
"PIP CHANNEL UP","sendir,1:1,1,40000,1,1,96,24,24,24,24,24,24,24,48,24,48,24,24,24,48,24,48,24,24,24,24,24,24,24,24,1128 ","0000 0067 0000 000D 0060 0018 0018 0018 0018 0018 0018 0018 0030 0018 0030 0018 0018 0018 0030 0018 0030 0018 0018 0018 0018 0018 0018 0018 0018 0468",,

"PIP OFF","sendir,1:1,1,40000,1,1,97,24,24,24,48,24,48,24,48,24,24,24,48,24,48,24,24,24,24,24,48,24,24,24,24,24,48,24,24,24,48,793 ","0000 0068 0000 0010 0061 0018 0018 0018 0030 0018 0030 0018 0030 0018 0018 0018 0030 0018 0030 0018 0018 0018 0018 0018 0030 0018 0018 0018 0018 0018 0030 0018 0018 0018 0030 0319",,

"PIP POSITION","sendir,1:1,1,40000,1,1,96,24,24,24,48,24,48,24,48,24,48,24,24,24,48,24,48,24,24,24,24,24,24,24,24,1080 ","0000 0067 0000 000D 0060 0018 0018 0018 0030 0018 0030 0018 0030 0018 0030 0018 0018 0018 0030 0018 0030 0018 0018 0018 0018 0018 0018 0018 0018 0438",,

"PIP TV / VIDEO","sendir,1:1,1,40000,1,1,96,24,24,24,48,24,24,24,48,24,48,24,24,24,48,24,48,24,24,24,24,24,24,24,24,1104 ","0000 0067 0000 000D 0060 0018 0018 0018 0030 0018 0018 0018 0030 0018 0030 0018 0018 0018 0030 0018 0030 0018 0018 0018 0018 0018 0018 0018 0018 0450",,

"PLAY","sendir,1:1,1,40000,1,1,96,23,23,23,47,23,23,23,47,23,47,23,23,23,23,23,47,23,47,23,47,23,23,23,47,23,23,23,23,23,47,796 ","0000 0068 0000 0010 0060 0017 0017 0017 002F 0017 0017 0017 002F 0017 002F 0017 0017 0017 0017 0017 002F 0017 002F 0017 002F 0017 0017 0017 002F 0017 0017 0017 0017 0017 002F 031C",,

"POWER OFF","sendir,1:1,1,40000,1,1,96,24,48,24,48,24,48,24,48,24,24,24,48,24,24,24,48,24,24,24,24,24,24,24,24,990 ","0000 0068 0000 000d 0060 0018 0030 0018 0030 0018 0030 0018 0030 0018 0018 0018 0030 0018 0018 0018 0030 0018 0018 0018 0018 0018 0018 0018 0018 03de",,

"POWER ON","sendir,1:1,1,40000,1,1,96,24,24,24,48,24,48,24,48,24,24,24,48,24,24,24,48,24,24,24,24,24,24,24,24,1013 ","0000 0068 0000 000d 0060 0018 0018 0018 0030 0018 0030 0018 0030 0018 0018 0018 0030 0018 0018 0018 0030 0018 0018 0018 0018 0018 0018 0018 0018 03f5",,

"POWER SAVING","sendir,1:1,1,40000,1,1,96,23,23,23,47,23,47,23,23,23,47,23,47,23,23,23,47,23,47,23,47,23,23,23,47,23,47,23,47,23,23,747 ","0000 0068 0000 0010 0060 0017 0017 0017 002F 0017 002F 0017 0017 0017 002F 0017 002F 0017 0017 0017 002F 0017 002F 0017 002F 0017 0017 0017 002F 0017 002F 0017 002F 0017 0017 02EB",,

"POWER TOGGLE","sendir,1:1,1,40000,1,1,96,24,48,24,24,24,48,24,24,24,48,24,24,24,24,24,48,24,24,24,24,24,24,24,24,1035 ","0000 0068 0000 000d 0060 0018 0030 0018 0018 0018 0030 0018 0018 0018 0030 0018 0018 0018 0018 0018 0030 0018 0018 0018 0018 0018 0018 0018 0018 040b",,

"PREVIOUS","sendir,1:1,1,40000,1,1,96,23,23,23,23,23,47,23,47,23,47,23,47,23,23,23,47,23,47,23,47,23,23,23,47,23,23,23,23,23,47,772 ","0000 0068 0000 0010 0060 0017 0017 0017 0017 0017 002F 0017 002F 0017 002F 0017 002F 0017 0017 0017 002F 0017 002F 0017 002F 0017 0017 0017 002F 0017 0017 0017 0017 0017 002F 0304",,

"PREVIOUS CHANNEL","sendir,1:1,1,40000,1,1,96,24,48,24,48,24,24,24,48,24,48,24,48,24,24,24,48,24,24,24,24,24,24,24,24,990 ","0000 0068 0000 000d 0060 0018 0030 0018 0030 0018 0018 0018 0030 0018 0030 0018 0030 0018 0018 0018 0030 0018 0018 0018 0018 0018 0018 0018 0018 03de",,

"QRIOCITY","sendir,1:1,1,40000,1,1,96,23,47,23,23,23,47,23,47,23,47,23,47,23,47,23,23,23,47,23,23,23,47,23,47,23,23,23,23,23,23,772 ","0000 0068 0000 0010 0060 0017 002F 0017 0017 0017 002F 0017 002F 0017 002F 0017 002F 0017 002F 0017 0017 0017 002F 0017 0017 0017 002F 0017 002F 0017 0017 0017 0017 0017 0017 0304",,

"RECORD","sendir,1:1,1,40000,1,1,96,24,24,25,24,24,24,24,24,24,24,24,48,24,24,24,48,24,48,24,48,24,24,24,48,24,24,24,24,24,48,836 ","0000 0068 0000 0010 0060 0018 0018 0019 0018 0018 0018 0018 0018 0018 0018 0018 0030 0018 0018 0018 0030 0018 0030 0018 0030 0018 0018 0018 0030 0018 0018 0018 0018 0018 0030 0344",,

"RELATED SEARCH","sendir,1:1,1,40000,1,1,96,24,24,24,48,24,48,24,48,24,48,24,48,24,48,24,24,24,48,24,24,24,48,24,48,24,24,24,24,24,24,765 ","0000 0068 0000 0010 0060 0018 0018 0018 0030 0018 0030 0018 0030 0018 0030 0018 0030 0018 0030 0018 0018 0018 0030 0018 0018 0018 0030 0018 0030 0018 0018 0018 0018 0018 0018 02FD",,

"RESET","sendir,1:1,1,40000,1,1,96,24,24,24,48,24,48,24,24,24,48,24,24,24,24,24,48,24,24,24,24,24,24,24,24,1033 ","0000 0068 0000 000D 0060 0018 0018 0018 0030 0018 0030 0018 0018 0018 0030 0018 0018 0018 0018 0018 0030 0018 0018 0018 0018 0018 0018 0018 0018 0409",,

"RETURN","sendir,1:1,1,40000,1,1,96,24,48,24,48,24,24,24,24,24,24,24,48,24,24,24,48,24,48,24,48,24,24,24,48,24,24,24,24,24,48,772 ","0000 0068 0000 0010 0060 0018 0030 0018 0030 0018 0018 0018 0018 0018 0018 0018 0030 0018 0018 0018 0030 0018 0030 0018 0030 0018 0018 0018 0030 0018 0018 0018 0018 0018 0030 0304",,

"REVERSE","sendir,1:1,1,40000,1,1,96,23,47,23,47,23,23,23,47,23,47,23,23,23,23,23,47,23,47,23,47,23,23,23,47,23,23,23,23,23,47,772 ","0000 0068 0000 0010 0060 0017 002F 0017 002F 0017 0017 0017 002F 0017 002F 0017 0017 0017 0017 0017 002F 0017 002F 0017 002F 0017 0017 0017 002F 0017 0017 0017 0017 0017 002F 0304",,

"SCENE","sendir,1:1,1,40000,1,1,96,23,23,23,23,23,23,23,47,23,47,23,47,23,47,23,23,23,47,23,23,23,47,23,47,23,23,23,23,23,23,820 ","0000 0068 0000 0010 0060 0017 0017 0017 0017 0017 0017 0017 002F 0017 002F 0017 002F 0017 002F 0017 0017 0017 002F 0017 0017 0017 002F 0017 002F 0017 0017 0017 0017 0017 0017 0334",,

"SLEEP","sendir,1:1,1,40000,1,1,96,24,24,24,48,24,48,24,24,24,48,24,48,24,24,24,48,24,24,24,24,24,24,24,24,1009 ","0000 0068 0000 000D 0060 0018 0018 0018 0030 0018 0030 0018 0018 0018 0030 0018 0030 0018 0018 0018 0030 0018 0018 0018 0018 0018 0018 0018 0018 03F1",,

"SOCIAL VIEW","sendir,1:1,1,40000,1,1,96,24,24,24,24,24,48,24,24,24,48,24,48,24,48,24,24,24,48,24,24,24,48,24,48,24,24,24,24,24,24,813 ","0000 0068 0000 0010 0060 0018 0018 0018 0018 0018 0030 0018 0018 0018 0030 0018 0030 0018 0030 0018 0018 0018 0030 0018 0018 0018 0030 0018 0030 0018 0018 0018 0018 0018 0018 032D",,

"SOUND MODE","sendir,1:1,1,40000,1,1,95,23,47,23,47,23,23,23,47,23,47,23,47,23,47,23,47,23,47,23,47,23,23,23,47,23,23,23,23,23,47,722 ","0000 0068 0000 0010 005F 0017 002F 0017 002F 0017 0017 0017 002F 0017 002F 0017 002F 0017 002F 0017 002F 0017 002F 0017 002F 0017 0017 0017 002F 0017 0017 0017 0017 0017 002F 02D2",,

"STEREO / MONO","sendir,1:1,1,40000,1,1,96,24,48,24,24,24,24,24,48,24,24,24,48,24,48,24,48,24,24,24,24,24,24,24,24,1104 ","0000 0067 0000 000D 0060 0018 0030 0018 0018 0018 0018 0018 0030 0018 0018 0018 0030 0018 0030 0018 0030 0018 0018 0018 0018 0018 0018 0018 0018 0450",,

"STOP","sendir,1:1,1,40000,1,1,96,23,23,23,23,23,23,23,47,23,47,23,23,23,23,23,47,23,47,23,47,23,23,23,47,23,23,23,23,23,47,820 ","0000 0068 0000 0010 0060 0017 0017 0017 0017 0017 0017 0017 002F 0017 002F 0017 0017 0017 0017 0017 002F 0017 002F 0017 002F 0017 0017 0017 002F 0017 0017 0017 0017 0017 002F 0334",,

"STORE MODE","sendir,1:1,1,40000,1,1,96,24,24,24,49,24,24,24,49,24,24,24,49,24,49,24,49,24,49,24,49,24,24,24,49,24,24,24,24,24,49,743 ","0000 0068 0000 0010 0060 0018 0018 0018 0031 0018 0018 0018 0031 0018 0018 0018 0031 0018 0031 0018 0031 0018 0031 0018 0031 0018 0018 0018 0031 0018 0018 0018 0018 0018 0031 02E7",,

"SUBTITLE","sendir,1:1,1,40000,1,1,96,24,24,24,24,24,24,24,48,24,24,24,48,25,24,24,48,24,48,24,48,24,24,24,48,24,24,24,24,24,48,812 ","0000 0068 0000 0010 0060 0018 0018 0018 0018 0018 0018 0018 0030 0018 0018 0018 0030 0019 0018 0018 0030 0018 0030 0018 0030 0018 0018 0018 0030 0018 0018 0018 0018 0018 0030 032C",,

"TABLET CHANGE","sendir,1:1,1,40000,1,1,96,24,24,24,24,24,48,24,24,24,48,24,24,24,48,24,48,24,24,24,24,24,24,24,24,1128 ","0000 0067 0000 000D 0060 0018 0018 0018 0018 0018 0030 0018 0018 0018 0030 0018 0018 0018 0030 0018 0030 0018 0018 0018 0018 0018 0018 0018 0018 0468",,

"TELETEXT","sendir,1:1,1,40000,1,1,96,24,48,24,48,24,48,25,48,24,48,24,48,24,24,24,48,24,24,24,24,24,24,24,24,956 ","0000 0068 0000 000D 0060 0018 0030 0018 0030 0018 0030 0019 0030 0018 0030 0018 0030 0018 0018 0018 0030 0018 0018 0018 0018 0018 0018 0018 0018 03BC",,

"TELETEXT HOLD","sendir,1:1,1,40000,1,1,96,24,48,24,24,24,48,24,24,24,24,24,48,24,24,24,48,24,24,24,24,24,24,24,24,1026 ","0000 0068 0000 000D 0060 0018 0030 0018 0018 0018 0030 0018 0018 0018 0018 0018 0030 0018 0018 0018 0030 0018 0018 0018 0018 0018 0018 0018 0018 0402",,

"TELETEXT PAGE DOWN","sendir,1:1,1,40000,1,1,96,24,48,24,24,24,24,24,24,24,48,24,24,24,24,24,48,24,24,24,24,24,24,24,24,1051 ","0000 0068 0000 000D 0060 0018 0030 0018 0018 0018 0018 0018 0018 0018 0030 0018 0018 0018 0018 0018 0030 0018 0018 0018 0018 0018 0018 0018 0018 041B",,

"TELETEXT PAGE UP","sendir,1:1,1,40000,1,1,96,24,24,24,24,24,24,25,24,24,48,24,24,24,24,24,48,24,24,24,24,24,24,24,24,1076 ","0000 0068 0000 000D 0060 0018 0018 0018 0018 0018 0018 0019 0018 0018 0030 0018 0018 0018 0018 0018 0030 0018 0018 0018 0018 0018 0018 0018 0018 0434",,

"TELETEXT REVEAL","sendir,1:1,1,40000,1,1,96,24,24,24,48,24,24,24,48,24,48,24,48,24,24,24,48,24,24,24,24,24,24,24,24,1005 ","0000 0068 0000 000D 0060 0018 0018 0018 0030 0018 0018 0018 0030 0018 0030 0018 0030 0018 0018 0018 0030 0018 0018 0018 0018 0018 0018 0018 0018 03ED",,

"THEATER","sendir,1:1,1,40000,1,1,96,23,23,23,23,23,23,23,23,23,23,23,47,23,47,23,47,23,47,23,47,23,23,23,47,23,47,23,47,23,23,796 ","0000 0068 0000 0010 0060 0017 0017 0017 0017 0017 0017 0017 0017 0017 0017 0017 002F 0017 002F 0017 002F 0017 002F 0017 002F 0017 0017 0017 002F 0017 002F 0017 002F 0017 0017 031C",,

"THEATER MODE","sendir,1:1,1,40000,1,1,95,23,23,23,23,23,23,23,23,23,23,23,48,23,48,23,48,23,48,23,48,23,23,23,48,23,48,23,48,23,23,793 ","0000 0068 0000 0010 005F 0017 0017 0017 0017 0017 0017 0017 0017 0017 0017 0017 0030 0017 0030 0017 0030 0017 0030 0017 0030 0017 0017 0017 0030 0017 0030 0017 0030 0017 0017 0319",,

"TIMER","sendir,1:1,1,40000,1,1,96,24,24,24,24,24,48,24,48,24,48,24,48,24,24,24,48,24,24,24,24,24,24,24,24,1104 ","0000 0067 0000 000D 0060 0018 0018 0018 0018 0018 0030 0018 0030 0018 0030 0018 0030 0018 0018 0018 0030 0018 0018 0018 0018 0018 0018 0018 0018 0450",,

"TIMER DOWN","sendir,1:1,1,40000,1,1,96,24,24,24,48,24,24,24,24,24,48,24,48,24,24,24,48,24,24,24,24,24,24,24,24,1128 ","0000 0067 0000 000D 0060 0018 0018 0018 0030 0018 0018 0018 0018 0018 0030 0018 0030 0018 0018 0018 0030 0018 0018 0018 0018 0018 0018 0018 0018 0468",,

"TIMER UP","sendir,1:1,1,40000,1,1,96,24,48,24,24,24,24,24,24,24,48,24,48,24,24,24,48,24,24,24,24,24,24,24,24,1128 ","0000 0067 0000 000D 0060 0018 0030 0018 0018 0018 0018 0018 0018 0018 0030 0018 0030 0018 0018 0018 0030 0018 0018 0018 0018 0018 0018 0018 0018 0468",,

"TRACK ID","sendir,1:1,1,40000,1,1,96,23,23,23,47,23,47,23,47,23,47,23,47,23,47,23,23,23,47,23,23,23,47,23,47,23,23,23,23,23,23,772 ","0000 0068 0000 0010 0060 0017 0017 0017 002F 0017 002F 0017 002F 0017 002F 0017 002F 0017 002F 0017 0017 0017 002F 0017 0017 0017 002F 0017 002F 0017 0017 0017 0017 0017 0017 0304",,

"TREBLE DOWN","sendir,1:1,1,40000,1,1,96,24,48,24,24,24,24,24,24,24,48,24,48,24,48,24,48,24,24,24,24,24,24,24,24,1106 ","0000 0068 0000 000d 0060 0018 0030 0018 0018 0018 0018 0018 0018 0018 0030 0018 0030 0018 0030 0018 0030 0018 0018 0018 0018 0018 0018 0018 0018 0452",,

"TREBLE UP","sendir,1:1,1,40000,1,1,96,24,24,24,24,24,24,24,24,24,48,24,48,24,48,24,48,24,24,24,24,24,24,24,24,1106 ","0000 0068 0000 000d 0060 0018 0018 0018 0018 0018 0018 0018 0018 0018 0030 0018 0030 0018 0030 0018 0030 0018 0018 0018 0018 0018 0018 0018 0018 0452",,

"TWIN VIEW","sendir,1:1,1,40000,1,1,95,23,47,23,47,23,47,23,23,23,47,23,47,23,47,23,23,23,23,23,47,23,23,23,23,23,47,23,23,23,47,772 ","0000 0068 0000 0010 005F 0017 002F 0017 002F 0017 002F 0017 0017 0017 002F 0017 002F 0017 002F 0017 0017 0017 0017 0017 002F 0017 0017 0017 0017 0017 002F 0017 0017 0017 002F 0304",,

"VELOCITY SCAN TOGGLE","sendir,1:1,1,40000,1,1,96,24,48,24,24,24,48,24,48,24,24,24,24,24,48,24,24,24,24,24,48,24,24,24,24,24,48,24,24,24,48,794 ","0000 0068 0000 0010 0060 0018 0030 0018 0018 0018 0030 0018 0030 0018 0018 0018 0018 0018 0030 0018 0018 0018 0018 0018 0030 0018 0018 0018 0018 0018 0030 0018 0018 0018 0030 031a",,

"VOLUME DOWN","sendir,1:1,1,40000,1,1,96,24,48,24,48,24,24,24,24,24,48,24,24,24,24,24,48,24,24,24,24,24,24,24,24,1035 ","0000 0068 0000 000d 0060 0018 0030 0018 0030 0018 0018 0018 0018 0018 0030 0018 0018 0018 0018 0018 0030 0018 0018 0018 0018 0018 0018 0018 0018 040b",,

"VOLUME UP","sendir,1:1,1,40000,1,1,96,24,24,24,48,24,24,24,24,24,48,24,24,24,24,24,48,24,24,24,24,24,24,24,24,1058 ","0000 0068 0000 000d 0060 0018 0018 0018 0030 0018 0018 0018 0018 0018 0030 0018 0018 0018 0018 0018 0030 0018 0018 0018 0018 0018 0018 0018 0018 0422",,

"WIDGETS","sendir,1:1,1,40000,1,1,97,24,24,24,48,24,24,24,48,24,48,24,48,24,48,24,24,24,48,24,24,24,48,24,48,24,24,24,24,24,24,796 ","0000 0068 0000 0010 0061 0018 0018 0018 0030 0018 0018 0018 0030 0018 0030 0018 0030 0018 0030 0018 0018 0018 0030 0018 0018 0018 0030 0018 0030 0018 0018 0018 0018 0018 0018 031C",,

"ZOOM","sendir,1:1,1,40000,1,1,96,24,24,24,48,24,24,24,48,24,48,24,48,24,48,24,24,24,24,24,48,24,24,24,24,24,48,24,24,24,48,888 ","0000 0067 0000 0010 0060 0018 0018 0018 0030 0018 0018 0018 0030 0018 0030 0018 0030 0018 0030 0018 0018 0018 0018 0018 0030 0018 0018 0018 0018 0018 0030 0018 0018 0018 0030 0378",,
